date,Open,High,Low,Close,Adjclose,Volume,Returns,Value_Traded,Market_Cap,EPS,P/E_TTM,P/S_TTM,P/Cf_TTM,P/B_TTM,EV,EV/ebitda_TTM,EV/sales_TTM,5D_ADTV,21D_ADTV,63D_ADTV,126D_ADTV,189D_ADTV,252D_ADTV,21D_STDV,63D_STDV,126D_STDV,252D_STDV,20_EMA,55_EMA,200_EMA,RSI,MACD_Line,MACD_Sig,Hist,ADX,ROC,OBV
2010-03-11,6.5225,6.681,6.518,6.679,6.679,144893360,0.0235231016780324,967742751.44,59443100000.0,0.10134831460674157,65.90144124168515,2.4253580317434413,18.051351351351354,3.958650772509323,50399100000.0,32.16279514996809,2.0563507283038884,817295416.132,958219629.0228571,,,,,0.25820120335813335,,,,6.262073175530256,,,69.37894255481763,0.10867918141917432,0.023599442629440862,0.08507973878973346,28.347175841770426,13.937222790856364,-910574820.0
2010-03-12,6.71,6.71,6.559,6.591,6.591,123038540,-0.013175625093576948,810947017.14,58659900000.0,0.10134831460674157,65.03314855875831,2.393402423599494,17.813513513513513,3.906493074054342,49615900000.0,31.662986598596042,2.0243951201599413,804919383.628,962006566.9971428,,,,,0.26373449029547186,,,,6.29339953976547,,,64.30118114962995,0.11955624456309533,0.04279080301617176,0.07676544154692357,29.78218040923474,10.106916137654531,-1033613360.0
2010-03-15,6.585,6.6,6.4315,6.5565,6.5565,126086200,-0.005234410559854408,826684170.3,58352850000.0,0.10134831460674157,64.69273835920177,2.3808743726794237,17.72027027027027,3.8860448854555143,49308850000.0,31.467038927887682,2.0118670692398712,824342354.4940001,954576443.43,,,,,0.25821137163104896,,,,6.318456726454473,,,62.37379863692646,0.12396355905405265,0.05902535422374794,0.06493820483030471,29.772481148932542,10.939086294416246,-1159699560.0
2010-03-16,6.562,6.6145,6.525,6.5895,6.5895,82698680,0.005033173186913764,544942951.86,58646550000.0,0.10134831460674157,65.01834811529933,2.392857725733404,17.80945945945946,3.905604022376132,49602550000.0,31.6544671346522,2.0238504222938514,776940141.3100001,934549134.608095,,,,,0.2566093125808612,,,,6.344270371554047,,,63.500768272894625,0.12863637172868803,0.07294755772473596,0.055688814003952064,29.84019718614844,11.309121621621632,-1077000880.0
2010-03-17,6.6205,6.6347,6.561,6.567,6.567,87179240,-0.0034145231049397262,572506069.08,58446300000.0,0.10134831460674157,64.79634146341463,2.384687257742054,17.74864864864865,3.8922682472029835,49402300000.0,31.526675175494574,2.015679954302501,744564591.964,911790034.2871428,,,,,0.24528269630556093,,,,6.3654827171203285,,,62.134278576287926,0.12903659394694955,0.08416536496917867,0.04487122897777088,30.013885031994004,5.460093142765365,-1164180120.0
2010-03-18,6.551,6.6425,6.522,6.638,6.638,100482400,0.010811633927211739,667002171.2,59078200000.0,0.10134831460674157,65.49689578713969,2.4104696234036473,17.94054054054054,3.9343500266382527,50034200000.0,31.929929802169752,2.041462319964095,684416475.916,894006784.9566667,,,,,0.23899155172312544,,,,6.39143674406125,,,64.71465056296087,0.13354347353166318,0.09404098668167557,0.03950248684998761,29.754855397379053,5.759579383414315,-1063697720.0
2010-03-19,6.6855,6.6855,6.483,6.5175,6.5175,178124500,-0.018153058150045198,1160926428.75,58005750000.0,0.10134831460674157,64.3079268292683,2.3667122281610835,17.614864864864867,3.8629295418220564,48961750000.0,31.245532865347798,1.9977049247215308,754412358.238,894142841.2895238,,,,,0.2511695509914291,,,,6.403442768436369,,,57.5470685631578,0.1259401059865617,0.1004208105426528,0.025519295443908893,29.77813631126651,3.542775438875201,-1241822220.0
2010-03-22,6.51,6.548,6.432,6.5235,6.5235,107666040,0.0009205983889528646,702359411.94,58059150000.0,0.10134831460674157,64.36712860310422,2.3688910196254436,17.63108108108108,3.8664857485348962,49015150000.0,31.279610721123166,1.999883716185891,729547406.566,887766069.7209524,,,,,0.2492067914948204,,,,6.414876790490048,,,57.79771120047559,0.11902646923770455,0.10414194228166315,0.014884526956041394,29.240176506490425,1.5093752431339036,-1134156180.0
2010-03-23,6.5445,6.547,6.4035,6.463,6.463,84272140,-0.009274162642753159,544650840.82,57520700000.0,0.10134831460674157,63.77017738359202,2.34692153902648,17.467567567567567,3.8306273308470966,48476700000.0,30.93599234205488,1.9779142355869272,729488984.358,875439127.0523809,,,,,0.25414559211163795,,,,6.41945995330052,6.244345454545454,,54.315464218379326,0.10742716444315548,0.10479898671396162,0.0026281777291938535,28.435233394129742,0.27150725312232726,-1218428320.0
2010-03-24,6.432,6.47,6.36,6.402,6.402,94064760,-0.009438341327556832,602202593.52,56977800000.0,0.10134831460674157,63.16829268292683,2.324770492472153,17.302702702702703,3.7944725625998936,47933800000.0,30.589534141671983,1.9557631890326004,735428289.246,864652898.075238,,,,,0.2559272396241568,,,,6.417797100605233,6.249975974025974,,50.98034874120988,0.09224905197513955,0.10228899976619721,-0.010039947791057657,27.229673702989825,-1.5909614941203465,-1312493080.0
